,Title,City,Salary,Rating,Company
381,Data Modeler,"Dover, NH",$66K - $127K ,3.8,Liberty Mutual Insurance
382,Computer Scientist Level 3,"Fort Meade, MD",$68K - $114K ,3.8,CACI
383,Senior Data Scientist,"Chicago, IL",$90K - $160K ,4.1,BrainWorks
384,Senior Actuarial Data Scientist,"Newport Beach, CA",$91K - $110K ,3.7,Pacific Life
385,Senior Environmental Scientist and Toxicologist,"Charlottesville, VA",$73K - $92K ,NaN,MBDC
386,Oracle PL/SQL Data Engineer (REMOTE),"Stamford, CT",$100K - $140K ,3.8,CareCentrix
387,Quality Improvement Data Analyst - Nutrition,"Boston, MA",$49K - $97K ,4.1,Boston Children's Hospital
388,Operations Metrics - Data Analyst,"Indianapolis, IN",$48K - $104K ,3.4,Knowledge Services
389,"Senior Scientist, Formulations","Bothell, WA",$69K - $131K ,3.9,Lundbeck
390,Data Scientist II,"Louisville, CO",$74K - $132K ,3.8,Sierra Nevada Corporation
391,Clinical Lab Scientist,"San Diego, CA",$50K - $92K ,1.7,DermTech
392,Data Scientist,"North Miami, FL",$66K - $107K ,NaN,TalentoHCM
393,"Principal Scientist, High Throughput Analytical","Redmond, WA",$95K - $192K ,4.8,Just - Evotec Biologics
394,Medical Lab Scientist (MLS) Mercy Health St. Elizabeth Youngstown,"Youngstown, OH",$17 - $24 Per Hour,3.6,Mercy Health
395,Signal and Information Processing Research Scientist,"Reston, VA",$64K - $135K ,3.4,"Metron, Inc."
396,Sr Business Intelligence Analyst,"Grants Pass, OREasy Apply1d",NaN,NaN,ALLCARE HEALTH
397,Sr. Data Analyst Manager,"Irvine, CA",$73K - $152K ,3.6,"CPT Group, Inc."
398,Data Scientist,"Washington, DCEasy Apply1d",NaN,NaN,Funded.club
399,Sr Data Engineer- W2 only- 10+ years experience,"San Jose, CA",$108K - $177K ,NaN,iCloudNexus
400,Analytics Consultant - Clinical Operations – 1212 Deming Way,"Madison, WI",$64K - $118K ,3.9,UW Health
401,Data Scientist,"Lake Forest, ILHiring SurgeEasy Apply24h",NaN,4.2,Peterson Technology Partners
402,Senior Data Scientist,"Washington, DC",$98K - $176K ,NaN,"TechSource, Inc."
403,GBSD Principal Data Scientist,"Roy, UT",$77K - $146K ,4,Northrop Grumman
404,Data Scientist,Remote7d,NaN,NaN,JM Talent Inc.
405,Business Intelligence Analyst,"Mascoutah, ILEasy Apply14d",NaN,4.4,SyllogisTeks
406,Data Scientist - 516078,"Rancho Cucamonga, CA",$62K - $128K ,NaN,Revel IT
407,Head of Data Science,"Westlake, TXActively Hiring5d",NaN,3.9,Charles Schwab
408,Senior Battery Scientist/Engineer,"Newberry, INEasy Apply22d",NaN,3.6,BrightVolt
409,Quality Data Analyst,"Liverpool, NY",$41K - $77K ,3.5,Lifeplan
410,Senior Data Engineer,"Portsmouth, NH",$97K - $175K ,NaN,Market Street Talent
411,ERP Data Analyst,"Fort Mill, SC",$39K - $68K ,NaN,Wikoff Color Corp
412,Lead Data Engineer,Remote13d,NaN,NaN,Interior Define
413,Business Data Analyst - Operations,"Indianapolis, IN",$46K - $96K ,3.4,Knowledge Services
414,Business Intelligence Analyst- Florida Applicant Only,"Boca Raton, FL",$46K - $92K ,3.4,TouchSuite
415,Customer Service Data Analyst - Albuquerque or Remote Work Option,"Albuquerque, NM",$45K - $81K ,3.2,PNM Resources
416,Business Intelligence Architect/Data Scientist,"Atlanta, GAEasy Apply6d",NaN,NaN,Starr and Associates
417,R&amp;D Analytical Manager,"Chattanooga, TN",$114K ,NaN,ProStaff Solutions Inc
418,"VP of Data, MMM","Columbia, MD",$96K - $207K ,NaN,Corporate Brokers
419,Senior Research Associate/Associate Scientist - Genetic Diseases,"Cambridge, MAHot9d",NaN,NaN,Scismic
420,Data Scientist,"Chicago, IL4d",NaN,3.5,Kelly
421,Data Scientist,"Stamford, CTEasy Apply11d",NaN,4.2,Brooksource
422,DDM – Data Scientist,"New York, NY",$77K - $152K ,3.4,Biz2Credit Inc
423,GBSD Principal Data Scientist,"Roy, UT",$77K - $146K ,4,Northrop Grumman
