,Title,City,Salary,Rating,Company,Hourly,Salary without $ and K,Min_Salary,Max_Salary,Avg_Salary,State,Title Simp,Seniority
186,Business Data Analyst,"Parsippany, NJ",$53K - $103K ,3.8427956989247285,"Pressler, Felt & Warshaw, LLP.",0, 53  -  103  ,53,103,78.0,NJ,analyst,na
187,Data Scientist,"Fort Lauderdale, FL",$65K - $110K ,5.0,ARC Group,0, 65  -  110  ,65,110,87.5,FL,data scientist,na
188,Data Analyst,"Bethesda, MD",$49K - $89K ,3.8,CACI,0, 49  -  89  ,49,89,69.0,MD,analyst,na
189,"Associate Scientist / Scientist I, Protein Biochemistry","Hayward, CA",$82K - $165K ,3.8427956989247285,"Fornia BioSolutions, Inc.",0, 82  -  165  ,82,165,123.5,CA,na,na
190,Data Engineer Manager - Remote,"Atlanta, GA",$62K - $122K ,4.1,Bellhops,0, 62  -  122  ,62,122,92.0,GA,data engineer,na
191,"Geologist, Hydrogeologist or Environmental Scientist","Anchorage, AK",$37K - $72K ,3.8427956989247285,"Terrasat, Inc.",0, 37  -  72  ,37,72,54.5,AK,na,na
192,"Sr. Scientist, Biopharmaceutical Development - Protein &amp; Gene Therapy","Irvine, CA",$81K - $158K ,1.8,Nitto Avecia Pharma Services,0, 81  -  158  ,81,158,119.5,CA,na,sr
193,Flow Cytometry Scientist,"Doylestown, PA",$44K - $97K ,3.8427956989247285,"FlowMetric Life Sciences, Inc.",0, 44  -  97  ,44,97,70.5,PA,na,na
194,Lead Data Scientist - Search,"Charlotte, NC",$66K - $115K ,4.4,Darwin Recruitment,0, 66  -  115  ,66,115,90.5,NC,data scientist,sr
195,"AVP, ETL Developer/Data Engineer","Livingston, NJ",$136K - $158K ,3.3,CIT Group,0, 136  -  158  ,136,158,147.0,NJ,data engineer,na
196,Healthcare Data Analyst - Quality Outcomes Managment,"Hershey, PA",$53K - $66K ,3.9,Penn State Health Milton S. Hershey Medical Center,0, 53  -  66  ,53,66,59.5,PA,analyst,na
197,"Mid-Level Environmental Scientist / Geologist, Req. 2021005","Schaumburg, IL",$60K - $92K ,3.8427956989247285,Specialty Consulting Inc.,0, 60  -  92  ,60,92,76.0,IL,na,na
198,Senior Data Engineer,"Watertown, MA",$96K - $153K ,4.2,Athenahealth,0, 96  -  153  ,96,153,124.5,MA,data engineer,sr
199,Certifying Scientist (2nd or 3rd Shift),"Greenville, SC",$109K - $132K ,3.8427956989247285,Luxor Scientific,0, 109  -  132  ,109,132,120.5,SC,na,na
200,Clinical Laboratory Scientist (Generalist),"Benicia, CA",$53K - $115K ,3.8427956989247285,1CARE Medical Diagnostics,0, 53  -  115  ,53,115,84.0,CA,na,na
201,Data Engineer,"Arlington, VA",$70K - $129K ,4.9,IntraFi Network,0, 70  -  129  ,70,129,99.5,VA,data engineer,na
202,Scientist / Sr. Scientist - HPLC,"Exton, PA",$52K - $56K ,3.4,Absorption Systems,0, 52  -  56  ,52,56,54.0,PA,na,sr
203,Data Engineer,"South Bend, IN",$119K - $130K ,3.8427956989247285,Aunalytics,0, 119  -  130  ,119,130,124.5,IN,data engineer,na
204,Senior Data Analytics Advisor,"Boron, CA",$97K - $103K ,4.0,Rio Tinto,0, 97  -  103  ,97,103,100.0,CA,na,sr
205,Data Scientist,"New York, NY",$84K - $142K ,3.6,Epsilon,0, 84  -  142  ,84,142,113.0,NY,data scientist,na
206,Computer Scientist Level 2,"Fort Meade, MD",$99K - $127K ,3.8,CACI,0, 99  -  127  ,99,127,113.0,MD,na,na
